Datetime,Close,Stoch,Std_Dev,Buy_Signal,Sell_Signal
2024-01-03 09:30:00,240.67010498046875,,,False,False
2024-01-03 09:45:00,239.14199829101562,,,False,False
2024-01-03 10:00:00,236.85499572753906,,,False,False
2024-01-03 10:15:00,237.93389892578125,,,False,False
2024-01-03 10:30:00,238.78500366210938,,,False,False
2024-01-03 10:45:00,239.52999877929688,,,False,False
2024-01-03 11:00:00,238.86740112304688,,,False,False
2024-01-03 11:15:00,239.04010009765625,,,False,False
2024-01-03 11:30:00,239.5063018798828,,,False,False
2024-01-03 11:45:00,240.0800018310547,,,False,False
2024-01-03 12:00:00,239.94970703125,,,False,False
2024-01-03 12:15:00,240.45860290527344,,,False,False
2024-01-03 12:30:00,240.39999389648438,,,False,False
2024-01-03 12:45:00,240.95010375976562,49.466919676043666,,False,False
2024-01-03 13:00:00,240.75,85.98600288472075,,False,True
2024-01-03 13:15:00,240.1658935546875,77.538162420245,,False,False
2024-01-03 13:30:00,239.88999938964844,70.61309418197655,,False,False
2024-01-03 13:45:00,240.75999450683594,87.49990830062723,,False,True
2024-01-03 14:00:00,239.6219024658203,48.03441555354851,,False,False
2024-01-03 14:15:00,241.2530059814453,90.91688126582167,1.0812169000059584,False,True
2024-01-03 14:30:00,241.19500732421875,87.994672344901,1.1111816801815513,False,True
2024-01-03 14:45:00,239.99000549316406,50.15305503448405,1.1026378607784577,False,False
2024-01-03 15:00:00,239.42999267578125,22.340120447375966,0.8656417030351674,False,False
2024-01-03 15:15:00,239.25010681152344,18.560214777488216,0.7481296515962957,True,False
2024-01-03 15:30:00,238.58999633789062,0.32876739832052565,0.7657737806150078,True,False
2024-01-03 15:45:00,238.4199981689453,11.84556211774102,0.837287304916542,True,False
2024-01-04 09:30:00,238.60499572753906,16.941928161583892,0.8566209944408073,True,False
2024-01-04 09:45:00,239.69500732421875,50.51444485849334,0.8336135308418852,False,False
2024-01-04 10:00:00,240.94740295410156,82.70971031831644,0.855419267836465,False,True
2024-01-04 10:15:00,240.47500610351562,68.11442202112757,0.8614144243908836,False,False
2024-01-04 10:30:00,241.63999938964844,92.21694803021524,0.9321228240286608,False,True
2024-01-04 10:45:00,241.14120483398438,76.6564369845869,0.9571662313211772,False,False
