Datetime,Open,High,Low,Close,Volume
2024-02-12 04:00:00-05:00,193.41,194.76,193.31,193.34,0
2024-02-12 04:01:00-05:00,193.39,193.48,193.34,193.48,0
2024-02-12 04:02:00-05:00,193.49,193.7,193.44,193.7,0
2024-02-12 04:03:00-05:00,193.66,193.85,193.66,193.83,0
2024-02-12 04:04:00-05:00,193.81,194.0,193.8,193.94,0
2024-02-12 04:05:00-05:00,194.07,194.08,194.07,194.08,0
2024-02-12 04:06:00-05:00,194.07,194.09,194.0,194.09,0
2024-02-12 04:07:00-05:00,194.09,194.25,194.07,194.23,0
2024-02-12 04:08:00-05:00,194.23,194.38,194.23,194.37,0
2024-02-12 04:09:00-05:00,194.4,194.8,194.39,194.73,0
2024-02-12 04:10:00-05:00,194.73,194.86,194.7,194.8,0
2024-02-12 04:11:00-05:00,194.83,194.92,194.8,194.87,0
2024-02-12 04:12:00-05:00,194.8,194.91,194.8,194.91,0
2024-02-12 04:13:00-05:00,194.89,194.89,194.74,194.79,0
2024-02-12 04:14:00-05:00,194.79,194.84,194.75,194.81,0
2024-02-12 04:15:00-05:00,194.8,194.82,194.7,194.78,0
2024-02-12 04:16:00-05:00,194.77,194.8,194.71,194.8,0
2024-02-12 04:17:00-05:00,194.8,194.8,194.76,194.78,0
2024-02-12 04:18:00-05:00,194.78,194.79,194.76,194.78,0
2024-02-12 04:19:00-05:00,194.78,194.79,194.75,194.77,0
2024-02-12 04:20:00-05:00,194.77,194.79,194.75,194.79,0
2024-02-12 04:21:00-05:00,194.76,194.78,194.7,194.7,0
2024-02-12 04:22:00-05:00,194.7,194.77,194.7,194.76,0
2024-02-12 04:23:00-05:00,194.74,194.76,194.68,194.7,0
2024-02-12 04:24:00-05:00,194.71,194.74,194.7,194.72,0
2024-02-12 04:25:00-05:00,194.71,194.76,194.7,194.71,0
2024-02-12 04:26:00-05:00,194.72,194.74,194.7,194.7,0
2024-02-12 04:27:00-05:00,194.72,194.75,194.7,194.75,0
2024-02-12 04:28:00-05:00,194.73,194.74,194.7,194.72,0
2024-02-12 04:29:00-05:00,194.75,194.78,194.72,194.77,0
2024-02-12 04:30:00-05:00,194.78,194.79,194.73,194.74,0
2024-02-12 04:31:00-05:00,194.78,194.89,194.78,194.88,0
2024-02-12 04:32:00-05:00,194.89,194.9,194.86,194.9,0
2024-02-12 04:33:00-05:00,194.87,194.98,194.87,194.96,0
2024-02-12 04:34:00-05:00,194.97,194.98,194.91,194.97,0
2024-02-12 04:35:00-05:00,194.98,195.0,194.96,194.98,0
2024-02-12 04:36:00-05:00,194.98,194.99,194.93,194.96,0
2024-02-12 04:37:00-05:00,194.96,194.97,194.93,194.93,0
2024-02-12 04:38:00-05:00,194.96,194.97,194.91,194.96,0
2024-02-12 04:39:00-05:00,194.95,194.96,194.87,194.87,0
2024-02-12 04:40:00-05:00,194.88,194.91,194.78,194.8,0
2024-02-12 04:41:00-05:00,194.8,194.86,194.75,194.86,0
2024-02-12 04:42:00-05:00,194.85,194.85,194.8,194.8,0
2024-02-12 04:43:00-05:00,194.83,194.84,194.81,194.83,0
2024-02-12 04:44:00-05:00,194.83,194.89,194.83,194.89,0
2024-02-12 04:45:00-05:00,194.9,194.9,194.86,194.87,0
2024-02-12 04:46:00-05:00,194.86,194.94,194.85,194.89,0
2024-02-12 04:47:00-05:00,194.89,194.94,194.87,194.94,0
2024-02-12 04:48:00-05:00,194.94,194.95,194.91,194.93,0
